Trecho,Código,Categoria
"Normalmente - nas experiências que eu tive, nos projetos que eu trabalhei - dificilmente eu consigo resolver o problema com algo que já esteja pronto e que eu não precise fazer algum tipo de modificação.",Dificilmente algum modelo poderá ser reusado sem adaptações.,Limitação [Treino do modelo]
"Dado os requisitos do problema, as vezes a gente acha que pode usar um modelo, e o resultado não é tão bom, tem que melhorar o resultado, então a gente tem que melhorar esse modelo, então eu diria que sempre começa do mais simples e vai evoluindo conforme os requisitos, mas ficaria nesse loop de: [desenvolvimento do] modelo , treino [do modelo] e volta. É basicamente isso.",O reuso pode parecer plausível em um primeiro momento dados os requisitos mas em seguida se verificar que não.,Limitação [Treino do modelo] 
"é... bom.... depende - vamos dizer assim - do que eu tô trabalhando, mas se existe uma base de teste clara, digo assim, que já é pronta - vamos dizer assim - existe uma coleção de dados de teste que não fui eu que preparei, eu simplesmente rodo o modelo na base de teste e descubro se aquilo é o suficiente.",Bases de validação utilizadas para testar o modelo,Atividade [Avaliação do modelo]
"Tem outros problemas que eu já... estive e estou, em vários projetos no qual a própria avaliação é difícil, ela é uma coisa mais indireta, não está relacionada por exemplo a acurácia do modelo, ou alguma coisa assim, é uma coisa mais indireta, então depende de outras coisas e aí é um processo mais difícil de saber se a rede responde ou não ao que era esperado.",Dependendo do projeto a avaliação do modelo é complexa ,Desafio [Avaliação do modelo]
,Métricas clássicas insuficientes para valiar o modelo,Limitação [Avaliação do modelo]
,Dificuldade em garantir a corretude do modelo através de métricas.,Desafio [Avaliação do modelo]
"A avaliação normalmente é a parte mais difícil nesses projetos, porque justamente ela as vezes é até um pouco subjetiva, e a gente não tem como treinar o modelo subjetivamente. A gente treina ele [o modelo] da maneira que a gente consegue treinar, de alguma maneira supervisionada ou não supervisionada que a gente conheça, e aplica as métricas de requisitos do projeto. Isso seria - vamos dizer assim - o caso mais real, que eu estou assim... mais acostumada a lidar, mas existem casos que a base de teste é bem definida e você consegue diretamente avaliar o seu modelo.",A avaliação do modelo pode ser afetada pela da subjetividade da análise.,Desafio [Avaliação do modelo] 
,Métricas especiais para a avaliação do modelo podem ser especificadas junto com os requisitos.,Limitação [Avaliação do modelo]
"é... os maiores desafios... por mais que nós tenhamos avanços nas GPUs, elas são cada vez mais poderosas, muitas vezes... tem que se desdobrar para treinar determinado modelo em determinado dado. Eu já tive que rodar modelos em 20 máquinas diferentes, para conseguir rodar em determinado dado, ou mais: 20, 40. Acho que o máximo foi 120 máquinas. Isso é um desafio, um desafio não só da infraestrutura em si, pode ser muito complicado, mas também de botar isso em pé, né?",Alguns modelos precisam de infraestrutura massiva para serem treinados.,Limitação [Treino do modelo]
,Gerenciar uma grande infraestrutura para treino de um modelo é um desafio.,Desafio [Treino do modelo]
"Por mais que a gente tenha biblioteca que facilite bastante isso, se a pessoa não tem um background, ou pelo menos vontade de aprender a distribuir essas coisas... enfim, é um problema. Isso é um desafio bem grande.",Uso de bibliotecas para configurar a infraestrutura de treino para o modelo.,Métodos [Treino do modelo]
"Outro desafio que eu enxergo é que... às vezes se gasta muito tempo tentando desenvolver o modelo especificamente para um determinado problema, e isso pode demandar muito tempo e aí se esse dado muda um pouquinho, a gente tem que ter esse trabalho todo de novo.  Isso ainda é uma coisa problemática e ainda não está super bem resolvida, e... atrapalha a gente a manter esses modelos.",Alto custo em termos de tempo para a criação de um modelo ,Desafio [Treino do modelo]
,Data drift torna necessário retreinar todo um modelo.,Atividade [Treino do modelo]
,Retreinar um modelo com data drift implica em um alto custo de manutenção.,Desafio [Treino do modelo]
"então isso depende muito do problema, depende mesmo.",Limitação [Avaliação do modelo],Limitação [Treino do modelo]
"Normalmente, quando a gente tá lidando com coisas que são razoavelmente bem comportadas, é possível fazer uma seleção aleatória, coisa assim e tal, mas por exemplo eu tenho que trabalhar...","Seleção aleatório é utilizada na escolha das bases de treino, teste e validação para problemas comuns",Método [Avaliação do modelo]
"Normalmente eu tenho que trabalhar com dados espaciais, então eu não posso escolher qualquer ponto aleatoriamente, tem que ter algum... tem que garantir por exemplo que o teste esteja fisicamente longe do treino, senão eu não estou testando razoavelmente o meu modelo. Ou garantir que o, se eu tenho um dado espacial que eu, na hora que eu fui selecionar o meu dado de treino eu consegui cobrir boa parte do meu dado, então normalmente eu tento aplicar... enfim, seleção aleatória dentro das restrições que o dado me coloca, né? No meu caso essas restrições têm a ver com a relação espacial das amostras, ou coisa assim.","Regras de domínio devem ser consideradas para a seleção das bases de treino, teste e validação",Limitação [Treino do modelo]
": olha... normalmente eu uso... isso é um pouco difícil de dizer... mas normalmente eu costumo trabalhar com 20% do que eu tenho disponível para treinamento, para validação.","Separação da base de treino, teste e validação em proporções tradicionais para soluções gerais.",Método [Treino do modelo] 
,"Seleção das bases de treino, teste e validação",Atividade [Treino do modelo]
"No caso do teste é um pouco mais complicado, nos trabalhos que eu tenho que desenvolver, nos projetos, né? O teste não é uma base que você separa... enfim, te dão um monte de coisa para você testar, então normalmente a base de teste que eu tenho que rodar o meu modelo é muito maior do que a base de treino ou a de validação. Não sou eu que defino isso, né? Normalmente o teste é uma coisa que... vamos dizer assim, você tem que rodar esse seu modelo para esse determinado dado, mas em um ambiente controlado, eu diria que costumo separar para teste pelo menos uns 20% ou 30%.",Dados de teste e treino são repassados de maneira independente pelo cliente ,Limitação [Processamento de dados] 
,O modelo é testado em cerca de 20% ou 30% dos dados recebidos.,Atividade [Avaliação do modelo]
"como eu falei depende muito do problema, mas sim já usei bastante cross-validation, já usei simplesmente seleção aleatória, mas como eu falei, nos projetos que eu trabalho eu não posso fazer isso tão diretamente",Cross-folder para validar o modelo.,Método [Treino do modelo]
,Uso do cross-folder validation.,Atividade [Treino do modelo]
"eu preciso respeitar algumas condições do dado, normalmente condições espaciais, então não é tão direto por exemplo, fazer um cross-validation.",Soluções reais podem ter regras que não permitem o uso de cross-folder.,Limitação [Treino do modelo]
"é, garantir, garantir, ninguém super garante, mas a gente tenta... enfim, tenta pelo menos na hora que a gente usa... vai selecionar o... os dados de treinamento, que eles cubram boa parte do que se espera - vamos dizer assim - de a onde ele funciona.",Incerteza sobre se os dados de treino representam os reais.,Desafio [Treino do modelo]
,Regras do domínio devem ser respeitadas para aumentar a generalização do modelo.,Limitação [Treino do modelo]
"que também no caso dos projetos que eu trabalho, o pré-processamento costuma ser muito importante, para remover problemas nos dados - vamos dizer assim - que dificultariam você usar, o mesmo modelo em outros dados, ou dados novos.",Processamento de dados importante para a generalização do modelo,Limitação [Processamento de dados]
,Engeharia de atributos importante para a generalização do modelo.,Limitação [Engenharia de atributos]
"Muitas vezes, a gente... - como eu falei no caso dos meus projetos - isso não é possível, mesmo que eu quisesse treinar modelo e... não é qualquer dado... não é qualquer dado novo que eu vou conseguir um bom resultado. Existem - vamos dizer assim - restrições, muitas vezes do tipo de dado que vão me deixar ou não usar o modelo em outro lugar, mas a garantia, o que a gente pode garantir é o pré-processamento e tentar espalhar bem as... no caso desses problemas mais espaciais, as amostras de treinamento pelo dado.",Incerteza sobre se o modelo será bom para o cenário real.,Desafio [Treino do modelo]
"então... por acaso meu tema de tese de doutorado foi Neural Architecture Search, então eu trabalhava com a seleção de arquiteturas automaticamente, também um pouco de seleção de hiperparâmetros, mas no dia-a-dia eu sempre começo com o default, de no caso o TensorFlow que é o que eu sou, pra ver se funciona. Se não funciona a gente pode partir para um método mais... é... de busca de parâmetros, alguma coisa assim, como grid search e tal. Mas em termos de arquiteturas, eu... o tema da minha pesquisa é justamente identificar essas arquiteturas automaticamente.",Processo automatizado para a seleção de arquiteturas ,Método [Treino do modelo]
,Processo automatizado para seleção de hiperparâmetros ,Método [Treino do modelo]
,A primeira opção em relação a hiperparâmentros e arquiteturas é testar alternativas padrão.,Atividade [Treino do modelo]
"ntão... já cheguei a usar o meu próprio, normalmente o que eu mesmo trabalhei, mas no geral eu consigo fixar os parâmetros em um range razoável, não me vi na situação que eu precisasse fazer uma busca exaustiva de hiperparâmetros sem contar a arquitetura que eu tô falando.",Mesmo a seleção automática de hiperparâmetros possui auxílio de conhecimento empírico.,Limitação [Treino do modelo]
"então... normalmente, pelo menos da maneira como eu normalmente trabalho a pessoa de domínio - o cliente - ele não entende nada de ML, então o expert do hiperparâmetro sou eu mesmo. Eu é que setto os parâmetros com base na minha experiência, e o cliente ele pode me dar dicas, de - vamos dizer assim - o que ele espera de resultado, e o que ele [espera]... , ""olha, essa imagem que eu te dei era para sair de tal jeito"".",Desenvolvedor define hiperparâmetros de acordo com sua experiência,Atividade [Treino do modelo]
,Presença do cliente.,Ator [Avaliação do modelo]
,Cliente auxilia na avaliação do modelo.,Atividade [Avaliação do modelo]
" Aí eu tenho que avaliar isso e saber como eu devo trabalhar no meu modelo para poder chegar nesse resultado que ele espera, então normalmente a iteração que eu tenho com o usuário final é... são essas pessoas, pessoas que não trabalham... ou simplesmente usam ML em um nível... alto nível e não entendem muito bem desses hiperparâmetros.
",Cliente não opina em características como arquitetura ou hiperparâmetros,Limitação [Treino do modelo]
"é... normalmente eu não tive que lidar muito com esse tipo de problema, mas ele é um problema existente. Já aconteceu de a gente conseguir aplicar um fine tuning de um modelo e conseguir usar em outro dado, mas eu não... na minha experiência mesmo eu não tive que lidar com isso, eu diretamente.",Refinar um modelo pode fazê-lo superar um data drift.,Atividade [Treino do modelo]
"é, normalmente não sou eu que monitoro, né? O cliente que tem o modelo, que usa, e que retreina se precisar. Então eu não tenho visão de como está o modelo atualmente, tipo isso. 
",Após a entrega o cliente é responsável pelo modelo  ,Limitação [Implantação do modelo]
,O cliente monitora o modelo,Atividade [Implantação do modelo]
,O cliente retreina o modelo caso necessário.,Atividade [Implantação do modelo]
"normalmente eu não... não... não garanto isso não, infelizmente a vida de trabalhar com projeto é ""o resultado é satisfatório? Sim ou não"". Aí você tenta buscar, os... enfim, rodar mais parâmetros, busca de parâmetros, ou não mas normalmente eu não tenho essa garantia.",Incerteza sobre se a arquitetura escolhida é a melhor ,Desafio [Treino do modelo] 
,Incerteza sobre se os hiperparâmetros escolhidos são os melhores.,Desafio [Treino do modelo]
"No caso, mais voltado para a minha pesquisa, a busca de parâmetros, ela está teoricamente tentando encontrar um bom modelo automaticamente, é... para determinada tarefa, mas ela também não garante que é o melhor modelo, ela só garante que é melhor do que muitos outros que você possa tentar usar.",Seleção automática de hiperparâmetros não garante que os parâmetros são os melhores,Desafio [Treino do modelo] 
,Seleção automática de hiperparâmetros tem vantagem pois garante que os parâmetros escolhidos são melhores do que vários outros.,Limitação [Treino do modelo]
"é, eu uso... costumo usar o TensorFlow e normalmente - vamos dizer assim - a casca do código é reprodutível, né? Uma vez que você tem mais ou menos o código de treinamento, você consegue usá-lo em vários lugares, mudando coisas, né?",Uso de Frameworks para criação de modelos ,Método [Treino do modelo] 
"Mas sim, eu uso TensorFlow e uma vez que você desenvolve um código alí, você consegue reusar várias partes dele, da para realimentar essa coisa aí.",Reuso de partes do código de treino criado sobre frameworks.,Atividade [Treino do modelo]
"já usei o PyTorch, não gosto e prefiro o TensorFlow.","Uso de Frameworks para criação de modelos: PyTorch, TensorFlow",Método [Desenvolvimento]
"não.. nunca executei nenhum tipo de teste, dessas bibliotecas mais... Assim, alguns testes vagabundos eu até já fiz, mas assim, debugar para saber se está tudo perfeitamente implementado, nunca fiz isso,",Incerteza sobre a corretude da implementação do framework.,Desafio [Treino do modelo]
"mas eu confio no tamanho da comunidade do TensorFlow, isso é uma das coisas que me faz gostar do TensorFlow, é que existe muita gente mexendo, e muita gente vendo problemas. Isso para quem está usando - pelo menos na minha opinião - é muito bom.",Confiança na corretude da implementacão de frameworks.,Limitação [Treino do modelo]
"eu costumo fazer teste nos meus códigos - digo assim - existem funções de teste, mas. assim... elas garantem o básico. Agora eu assumo... que por exemplo, enfim, que a função de gradiente do TensorFlow ela funciona, eu não vou testar esse tipo de coisa, mas geralmente eu tenho sim funções de teste para as coisas que eu desenvolvo em cima da biblioteca dos outros, então digo assim, eu não vou checar se o TensorFlow tá fazendo, vamos dizer assim, a coisa certa lá por debaixo dos panos dele, mas onde eu tô mexendo, eu costumo fazer funções de teste sim.",Funções do framework não são testadas.,Limitação [Treino do modelo] 
"não, seriam testes de software mesmo, para saber se o código está correto, normalmente não envolve diretamente alguma avaliação do modelo não.",Testes de software executados para avaliar o código desenvolvido.,Atividade [Avaliação do modelo]
"é... normalmente - como eu falei, nos projetos que eu trabalho - o dado cru, ele é algo que a gente normalmente não entende logo de cara, não é tão óbvio como uma base de reconhecimento de imagem, que você já sabe o que precisa fazer.",Dados são de dificil compreensão no primeiro momento.,Desafio [Engenharia de atributos]
"Normalmente nessa parte tem uma grande interação com o cliente, ou quem vai consumir o modelo, para entender o dado e saber que tipo de processamento que a gente pode fazer com ele.",Presença do especialista de domínio.,Ator [Engenharia de atributos]
,Iteração com o especialista de domínio/cliente para entender o dado,Atividade [Engenharia de atributos]
"a grosso modo eu não garanto, eu vou com o pipeline até o fim, a gente avalia para ver se está tudo dentro dos requisitos e fica nesse loop.",Incerteza sobre a corretude da engenharia de atributos,Limitação [Engenharia de atributos]
,A avaliação dá indicio sobre a corretude da engenharia de atributos,Limitação [Engenharia de atributos]
"Isso volta sempre, o tempo inteiro, ainda mais quando a gente está lidando com dados que a gente não conhece muito bem - vamos dizer assim - não são coisas tão triviais, a gente tem que sempre avaliar o resultado e voltar, caso necessário para mexer nas features, isso realmente não - pelo menos na minha experiência - tem garantia não.",Processo iterativo entre engenharia de atributos e avaliação.,Atividade [Engenharia de atributos]
"desafio... eu acho que assim... essa dificuldade de a gente ter que entender o domínio nessa hora. Muitas vezes a gente não entende com muita facilidade... enfim, porque a gente trabalha com a parte de desenvolvimento de modelo, mas constantemente a gente precisa aprender sobre o domínio para poder saber o que fazer com os dados.",Desafio da Engenharia de Atributos é entender o domínio.,Desafio [Engenharia de atributos]
"Não é... as transformações que a gente tem que fazer nos dados não são triviais, a gente tem que aprender algumas vezes algumas transformações do próprio domínio, entender como o dado é processado e isso é um grande desafio, sempre.",Transformações dos dados podem ser oriundas do próprio domínio.,Limitação [Engenharia de atributos]
"como eu falei - normalmente nos projetos onde eu trabalho - a avaliação é uma coisa definida... é um pouco mais difícil de definir, não é tão direto, enfim. [...] normalmente está ligado a uma métrica que é discutida profundamente com o cliente, sobre o que é que o modelo melhorou nos dados, se ele conseguiu chegar ou não.  Normalmente isso é uma etapa de discussão, assim, acorda-se uma métricas e aí sim a gente avalia o modelo. 
",Métrica de avaliação definida em discussão com o cliente ,Atividade [Requisitos do modelo] 
,Métrica relacionada ao domínio da aplicação.,Limitação [Requisitos do modelo]
,presença do cliente,ator[avaliação do modelo]
"isso é um ponto muito difícil nos projetos que a gente trabalha, porque normalmente isso não está claro, isso é justamente tema de pesquisa, é esse o ponto, a gente escreve paper sobre as avaliações que a gente está criando.",Métricas não triviais pra avaliação do modelo,Desafio [Avaliação do modelo] 
,Métrica geralmente são relacionadas ao domínio da aplicação.,Limitação [Avaliação do modelo]
"Assim, não é nem um pouco trivial garantir isso, porque justamente esses projetos que a gente trabalha envolvem discussões - vamos dizer assim - de tentar fazer uma avaliação que satisfaça o que o cliente acredita como razoável. Normalmente [essas avaliações] envolvem coisas do próprio domínio, algumas coisas que a gente tem que criar, mas não é... não tem garantia, é pesquisa mesmo... no nível mais básico dela.",Incerteza sobre se as métricas escolhidas para avaliação são as melhores.,Desafio [Avaliação do modelo]
