Trecho,Código,Categoria
"Para a engenharia de atributos: ""como eu vou transformar uma coluna [...]?"". Uma data por exemplo pode não fazer sentido para mim, e sim uma diferença de datas [...]. Então como fazer essas transformações.",Dificuldade em identificar transformações adequadas para os dados,Desafio [Engenharia de atributos]
,Transformação dos dados,Atividade [Engenharia de atributos]
"Nessa etapa um dos maiores problemas é o tempo que você gasta.
",Processamento de dados demanda muito tempo,Desafio [Processamento de dados] 
,Engenharia de atributos demanda muito tempo,Desafio [Engenharia de atributos]
testando em uma base pequena pra ver se aquilo realmente está funcionando da maneira esperada [...]. Eu construo uma mini base de teste pra ver se o pré-processamento está funcionando da maneira correta [...].,Scripts para manipulação dos dados são testados em bases menores antes da execução.,Atividade [Processamento de dados] 
,Scripts de manipulação de atributos são testados em bases menores antes da execução.,Atividade [Engenharia de atributos]
"Na obtenção de dados, se eu estou pegando de bases diferentes, eu faço uma verificação para ver se o dado está vindo correto.",Os dados são verificados durante a coleta,Atividade[Processamento de dados]
A base de testes é uma base pequena que eu posso facilmente verificar no olho [...]. Eu executo essa parte do pré-processamento e da engenharia de atributos nessa base para verificar se o negócio está sem erros [...]. Para tentar identificar algum bug no código [...] do processamento de dados e da engenharia de atributos. ,Problemas nos scripts são verificados visualmente nas bases,Limitação [Processamento de dados] 
"Eu tenho uma base de testes, que eu nunca olho pra ela, nunca olho mesmo. Faço os experimentos usando cross-validation, mas dependendo do tamanho da base não tem como fazer [...]. Depois que eu chego em um ponto que eu não tenho mais como melhorar a qualidade do modelo e esse modelo vai ser o final, [...] eu pego o modelo [...], venho nessa base separada e executo uma vez e verifico o overfitting.",Uso da base de validação para verificar overfitting,Atividade [Avaliação do modelo]
"eu já participei da criação de bases, que é uma etapa muito difícil. Mas o que nós fizemos …, não, não verifica fairness.",Fairness não verificado,Limitação [Avaliação do modelo]
"vou no código, modifico e testo de novo.",Problemas são corrigidos através de modificação e reexecução,Atividade [Geral]
"escolhendo especificamente redes neurais, por exemplo: tem a loss, que é o que ele tenta reduzir para melhorar a qualidade da rede neural. A cada época que passa, você vê a loss [...]. A sua loss no conjunto de treino ela vai sempre decrescendo, no conjunto de validação ela decresce até certo ponto que começa a subir. Aí em um five fold cross validation [...], eu vou verificar em qual época eu tive a menor loss em cada um dos folds, pego cada um deles e faço a média. Quando eu vou criar meu modelo final [...] eu vou rodar ele tantas épocas quanto a média de onde ele encontrou o menor loss no conjunto de validação.",A correção do overfitting é feita através da análise da curva loss e restrição das épocas de treino.,Atividade [Treino do modelo]
"Mas com Naive Bayes eu nunca consegui um resultado (bom), mas você acaba colocando para fazer um comparativo de modelos. Por exemplo eu quero resolver uma tarefa de classificação [...], ao invés de você testar só um algoritmo e ficar melhorando as features dele, você seleciona alguns algoritmos [...] e compara os resultados entre eles.",Modelos em desenvolvimento são comparados com baselines.,Atividade [Avaliação do modelo]
"depende do tipo de tarefa. Em geral se é uma tarefa conhecida, comum na literatura, eu olho as métricas que são usadas em outros trabalhos",Literatura define as metas de avaliação.,Limitação [Avaliação do modelo]
"Se é um trabalho que não tem um dataset comum, eu vejo o que faz sentido naquele caso, geralmente o F1 é uma medida que eu uso. Mas tem casos que faz sentido a pessoa maximizar o recall.",Novas soluções requerem a definição da métrica mais adequada para avalia-la.,Limitação [Avaliação do modelo]
"fazendo Machine Learning eu não estou propondo nenhum algoritmo [...], então essa parte (implementação dos algoritmos) [...] eu trato como uma caixa preta, porque eu sei que pode haver bugs, mas tem pessoas focadas em resolver esses bugs.",Uso de frameworks para a criação de modelos.,Método [Treino do modelo]
,Confiança na corretude da implementação de frameworks.,Limitação [Treino do modelo]
"Eu estou aqui no meu fluxo, tentando melhorar pré-processamento, garantir que o pré-processamento será bem feito, [...] e tentando melhorar a qualidade (do modelo).",Entrevistado considera apenas a corretude do seu trabalho.,Limitação [Treino do modelo]
